"","x"
"Car4",0.805654957324061
"Ctla2a",0.712424770604606
"Tmsb10",0.679938450114032
"Slc22a8",0.647360934879326
"Slc16a1",0.625862018801575
"Apcdd1",0.549126531702301
"Rnase4",0.53744575619824
"Hmcn1",0.476965458354354
"Kank3",0.473987583452083
"Igf1r",0.460607131878814
"Alpl",0.447643804850127
"Slc38a3",0.446778266524297
"Mxra7",0.444123966987717
"Slc3a2",0.432234502361411
"Slc38a5",0.422055794469267
"Ifit1",0.421202851717107
"Gatm",0.415389653960342
"Slc7a5",0.413753355338299
"Ttyh2",0.413129435970279
"Kitl",0.399975002435806
"Cebpd",0.397442838162677
"Spock2",0.394777980085368
"Fmo2",0.392674175472435
"Kdr",0.390722639822146
"5430407P10Rik",0.389405677676212
"Myct1",0.388030890081758
"Mt1",0.38552017909441
"AU021092",0.385512491533244
"Slc1a1",0.383614828345382
"Arl4a",0.377836700854016
"Slc40a1",0.372322997030374
"1190002H23Rik",0.371435719846049
"Hip1",0.368249245391691
"Usp18",0.365739593930894
"Ldha",0.365673680537059
"Lphn2",0.364735018537327
"Tfrc",0.364011443272581
"Shisa5",0.36361968985782
"Grap",0.36315316528706
"Tmem98",0.355971476680682
"Irf7",0.354780627197664
"Bok",0.354633369907433
"Aldh2",0.353255416568057
"Slc16a4",0.352338950026027
"Smagp",0.35004367421497
"Slc7a1",0.34928911916749
"Nkd1",0.344796663636272
"Nostrin",0.344276046992921
"Prss23",0.338930205353555
"Emcn",0.337417106302696
"Gjc1",0.33543925258733
"Slc16a9",0.335418923514757
"Foxp1",0.332626001697387
"Sema3c",0.332495367282357
"Ddc",0.332404679623142
"Srsf7",0.329090192829784
"1810011O10Rik",0.32609080868328
"Prdx1",0.323270097161995
"Lrp8",0.321467458568382
"Ablim1",0.320391980726576
"Esyt2",0.319781901371272
"Cyb5r3",0.319243456624512
"Scarb1",0.31830237484013
"Nrp1",0.317043806112802
"Slc9a3r2",0.316706109475069
"Cxcl12",0.316555218213451
"Fam101b",0.315981978291646
"Kif1c",0.314801876160592
"Eno1",0.31396659826113
"Samd9l",0.312104014228149
"Ifit3",0.308848994326006
"Ier3",0.308542374409865
"Rhobtb1",0.308356186580597
"Capzb",0.307668934145495
"Pim3",0.307661955134
"Lims1",0.307583180369992
"Tnfsf10",0.306773885840468
"Fam118b",0.306101260378461
"Fli1",0.305798114332351
"Sparcl1",0.304158548704205
"Slfn5",0.303187080492508
"Slco1a4",0.29964512188903
"Psenen",0.298379792947588
"Cfh",0.29697572484826
"Pglyrp1",0.296369789650048
"Tmco1",0.295278307906483
"Car5a",0.2952320479065
"Glul",0.294524246028144
"Capg",0.292668204141558
"Plscr1",0.292502915523104
"Rasgrp2",0.292075192031671
"Edn3",0.290976817148368
"Col4a3bp",0.287847640007876
"Tbc1d4",0.287841313315676
"Srpr",0.286668233732156
"Lims2",0.286627961273202
"Adm",0.285887328851282
"Oasl2",0.283711446422159
