"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","Ppard",4.68444716294999,-6.75329340059362,1.60262962386405,-4.21388279614534,2.51017580961904e-05,0.226442959785733
"2","Erbb2",4.75190397087065,-6.11950074831939,1.56450538752681,-3.91146032292874,9.17397292286767e-05,0.413792048685946
"3","Birc2",3.55739547158529,-6.54341591128922,1.85826373932292,-3.52125253957405,0.000429513350018825,0.992988417583847
"4","Nop56",3.24569150997824,-6.24697681905017,1.92601614766374,-3.24347063581361,0.0011808298167932,0.992988417583847
"5","Dbr1",2.98927349400441,-6.4477839785987,2.0704609643619,-3.11417799687224,0.00184458174190569,0.992988417583847
"6","Mau2",2.87338475427709,-6.39960169268951,2.1428120804441,-2.98654359432358,0.0028215060679462,0.992988417583847
"7","Hgsnat",2.80265053592173,-6.1387046435089,2.15235787307105,-2.85208362434172,0.00434336727288019,0.992988417583847
"8","Rhoj",3.56669412226674,-4.68393816575078,1.64992100736318,-2.8388863132523,0.00452712830529889,0.992988417583847
"9","Rsad2",4.20290182575845,-3.96312329232644,1.42217304853394,-2.78666741463836,0.00532531027735891,0.992988417583847
"10","Upf2",3.96840114677076,-4.33070322582535,1.57513507250889,-2.74941705089924,0.00597013714043804,0.992988417583847
"11","0610007L01Rik",2.9012204405455,-5.23339496775875,2.01232839695661,-2.60066645964625,0.00930428672410764,0.992988417583847
"12","Mecom",9.81656449155597,-1.7490285919671,0.67321291080052,-2.59803186169933,0.0093759793682522,0.992988417583847
"13","Pak4",6.28366211266278,-2.73399789465596,1.05697342401116,-2.58662879552883,0.00969199413179926,0.992988417583847
"14","Nfyc",2.43553506051634,-5.95296207266035,2.34061268699332,-2.54333495915009,0.0109799914523746,0.992988417583847
"15","March2",2.81901102928034,-4.99236090763404,2.06080263154685,-2.42253228485387,0.0154127561712419,0.992988417583847
"16","Rnaset2b",5.11878288927841,4.07018995830773,1.68787740885031,2.41142510526289,0.0158903150782481,0.992988417583847
"17","Chmp2a",5.63673075446515,3.98787446592724,1.65742326493863,2.40606883605854,0.0161252259965316,0.992988417583847
"18","Ttc28",4.67562578061971,-3.1266199662152,1.30341230692052,-2.39879579900718,0.016449084880837,0.992988417583847
"19","Med8",3.20079684734476,-4.36010373400856,1.82877803138751,-2.38416235277089,0.0171180485105482,0.992988417583847
"20","Pik3c2a",4.31428497303621,-2.90973354928458,1.25989278352398,-2.30950886244933,0.020915360467242,0.992988417583847
"21","Clptm1l",2.10838282618715,-5.88219398731529,2.62050747182921,-2.24467743387479,0.0247888477363,0.992988417583847
"22","Pdgfb",4.44007013579548,3.87768917321022,1.73030670953708,2.24104151699652,0.0250233858598442,0.992988417583847
"23","1110059G10Rik",3.59096559953422,-3.72415782860436,1.69685990498307,-2.19473500297098,0.0281826123128307,0.992988417583847
"24","Erich1",3.13832349086925,-3.99906016136031,1.84571754533402,-2.16666963559508,0.030260053476384,0.992988417583847
"25","Ndufa7",4.63400316761004,3.74132925826113,1.73955538510632,2.15073879813977,0.0314968221813351,0.992988417583847
"26","Nme2",4.58268091090212,3.7824301273715,1.77502749102928,2.13091354724776,0.0330962651070692,0.992988417583847
"27","Ppm1g",3.40910586965516,-3.36010861299495,1.58575055191742,-2.11893895224066,0.0340956265002501,0.992988417583847
"28","Tmem106c",2.5872335498257,-4.85593053982546,2.34205258131652,-2.07336529442726,0.0381382962665769,0.992988417583847
"29","Cln5",2.53501718577658,-4.39359722879232,2.13486869723744,-2.05801754200515,0.0395884495098801,0.992988417583847
"30","Clic5",4.51712530737166,-2.49785359331403,1.22768823923116,-2.03459926836011,0.0418912110577224,0.992988417583847
"31","Dynlrb1",3.86566705922938,3.67027956450509,1.81904032814572,2.01770104143126,0.0436224063126922,0.992988417583847
"32","Sf3a1",1.94227385295724,-5.57879800189909,2.77778003914448,-2.00836564568924,0.0446044507490425,0.992988417583847
"33","Usp34",2.10331711405651,-5.29970340734669,2.66127635300847,-1.99141415785534,0.046435374018618,0.992988417583847
"34","Trpm7",3.02381892199458,-3.80866785051913,1.9152109378358,-1.98864144689094,0.0467407931628489,0.992988417583847
"35","Ptprr",4.32383085088106,3.50302636973055,1.76402866814733,1.98581034026482,0.0470543871781254,0.992988417583847
"36","1110003E01Rik",3.98282012054858,3.56804141384258,1.79790810756147,1.98455160129511,0.0471943816281638,0.992988417583847
"37","1810074P20Rik",2.86658277033841,-3.79339941623999,1.92039831966784,-1.97531906656537,0.0482319508438067,0.992988417583847
